transaction_id,customer_id,purchase_date,purchase_amount,category,age,gender
TXN000001,CUST0216,2024-07-30,108.38,Beauty,56.0,Male
TXN001159,CUST0216,2024-10-03,62.67,Clothing,56.0,Male
TXN001161,CUST0216,2025-01-02,49.51,Clothing,56.0,Male
TXN001304,CUST0216,2024-08-28,67.16,Books,56.0,Male
TXN001678,CUST0216,2024-05-24,24.73,Books,56.0,Male
TXN002278,CUST0216,2024-12-20,73.86,Home,56.0,Male
TXN002667,CUST0216,2025-01-11,132.48,Electronics,56.0,Male
TXN003724,CUST0216,2024-07-09,84.5,Beauty,56.0,Male
TXN003734,CUST0216,2025-01-18,160.71,Home,56.0,Male
TXN004081,CUST0216,2024-06-01,240.43,Electronics,56.0,Male
TXN000002,CUST0059,2025-01-03,182.2,Home,70.0,Male
TXN000238,CUST0059,2024-11-07,38.28,Food,70.0,Male
TXN002268,CUST0059,2025-02-27,76.3,Electronics,70.0,Male
TXN002799,CUST0059,2024-10-11,67.36,Beauty,70.0,Male
TXN003390,CUST0059,2024-05-20,37.96,Beauty,70.0,Male
TXN004271,CUST0059,2024-08-13,45.62,Beauty,70.0,Male
TXN004275,CUST0059,2024-03-20,27.84,Food,70.0,Male
TXN000003,CUST0356,2024-09-12,70.99,Beauty,63.0,Female
TXN000681,CUST0356,2024-04-04,50.58,Clothing,63.0,Female
TXN001091,CUST0356,2024-08-16,37.52,Beauty,63.0,Female
TXN001448,CUST0356,2024-12-13,95.09,Electronics,63.0,Female
TXN001484,CUST0356,2025-01-21,55.76,Books,63.0,Female
TXN001835,CUST0356,2024-07-08,105.37,Beauty,63.0,Female
TXN002719,CUST0356,2024-11-20,256.19,Home,63.0,Female
TXN004877,CUST0356,2024-09-13,97.04,Beauty,63.0,Female
TXN000004,CUST0235,2024-04-19,217.81,Home,66.0,Female
TXN000295,CUST0235,2025-01-20,38.82,Clothing,66.0,Female
TXN001944,CUST0235,2025-01-18,102.85,Home,66.0,Female
TXN002037,CUST0235,2024-11-17,164.76,Electronics,66.0,Female
TXN002968,CUST0235,2024-10-03,73.59,Beauty,66.0,Female
TXN003155,CUST0235,2024-08-28,142.29,Home,66.0,Female
TXN003296,CUST0235,2025-01-24,83.79,Food,66.0,Female
TXN000005,CUST0160,2025-03-03,49.47,Clothing,56.0,Female
TXN000033,CUST0160,2024-05-24,69.39,Beauty,56.0,Female
TXN000411,CUST0160,2024-06-02,177.42,Electronics,56.0,Female
